'[08:22:11 24/01/1995]',24.000
'[08:22:12 24/01/1995]',24.000
'[08:22:13 24/01/1995]',23.000
'[08:22:14 24/01/1995]',22.000
'[08:22:15 24/01/1995]',21.000
'[08:22:16 24/01/1995]',20.000
'[08:22:17 24/01/1995]',19.000
'[08:22:18 24/01/1995]',18.000
'[08:22:19 24/01/1995]',17.000
'[08:22:20 24/01/1995]',17.000
'[08:22:21 24/01/1995]',17.000
'[08:22:22 24/01/1995]',17.000
'[08:22:23 24/01/1995]',17.000
'[08:22:24 24/01/1995]',17.000
'[08:22:25 24/01/1995]',17.000
'[08:22:26 24/01/1995]',16.000
'[08:22:27 24/01/1995]',16.000
'[08:22:28 24/01/1995]',16.000
'[08:22:29 24/01/1995]',16.000
'[08:22:30 24/01/1995]',16.000
'[08:22:31 24/01/1995]',16.000
'[08:22:32 24/01/1995]',16.000
'[08:22:33 24/01/1995]',17.000
'[08:22:34 24/01/1995]',17.000
'[08:22:35 24/01/1995]',17.000
'[08:22:36 24/01/1995]',17.000
'[08:22:37 24/01/1995]',16.000
'[08:22:38 24/01/1995]',16.000
'[08:22:39 24/01/1995]',16.000
'[08:22:40 24/01/1995]',16.000
'[08:22:41 24/01/1995]',16.000
'[08:22:42 24/01/1995]',16.000
'[08:22:43 24/01/1995]',16.000
'[08:22:44 24/01/1995]',15.000
'[08:22:45 24/01/1995]',14.000
'[08:22:46 24/01/1995]',14.000
'[08:22:47 24/01/1995]',14.000
'[08:22:48 24/01/1995]',14.000
'[08:22:49 24/01/1995]',14.000
'[08:22:50 24/01/1995]',14.000
'[08:22:51 24/01/1995]',14.000
'[08:22:52 24/01/1995]',15.000
'[08:22:54 24/01/1995]',15.000
'[08:22:55 24/01/1995]',15.000
'[08:22:56 24/01/1995]',15.000
'[08:22:57 24/01/1995]',15.000
'[08:22:58 24/01/1995]',15.000
'[08:22:59 24/01/1995]',15.000
'[08:23:00 24/01/1995]',15.000
'[08:23:01 24/01/1995]',15.000
'[08:23:02 24/01/1995]',15.000
'[08:23:03 24/01/1995]',15.000
'[08:23:04 24/01/1995]',15.000
'[08:23:05 24/01/1995]',14.000
'[08:23:06 24/01/1995]',13.000
'[08:23:07 24/01/1995]',12.000
'[08:23:08 24/01/1995]',11.000
'[08:23:09 24/01/1995]',10.000
'[08:23:10 24/01/1995]',9.000
